yearmonth,bundle,executeCount,userCount
200804,org.eclipse.datatools.connectivity.db.derby,2,1
200804,org.eclipse.datatools.connectivity.db.generic,17,8
200804,org.eclipse.datatools.connectivity.db.generic.ui,15,13
200804,org.eclipse.datatools.connectivity.derby,3,2
200804,org.eclipse.datatools.connectivity.derby.ui,2,1
200804,org.eclipse.datatools.connectivity.jdt,2,1
200804,org.eclipse.datatools.connectivity.oda,25,14
200804,org.eclipse.datatools.connectivity.oda.consumer,12,4
200804,org.eclipse.datatools.connectivity.oda.design,8,2
200804,org.eclipse.datatools.connectivity.oda.design.ui,25,17
200804,org.eclipse.datatools.connectivity.oda.flatfile,3,1
200804,org.eclipse.datatools.connectivity.oda.flatfile.ui,7,4
200804,org.eclipse.datatools.connectivity.oda.profile,20,12
200804,org.eclipse.datatools.connectivity.oda.template.ui,3,2
200804,org.eclipse.datatools.connectivity.sqm.core,161,80
200804,org.eclipse.datatools.connectivity.sqm.core.ui,65,31
200804,org.eclipse.datatools.connectivity.sqm.fe.ui,3,2
200804,org.eclipse.datatools.connectivity.sqm.fe.ui.actions,3,2
200804,org.eclipse.datatools.connectivity.sqm.server.ui,55,23
200804,org.eclipse.datatools.connectivity.ui,122,70
200804,org.eclipse.datatools.connectivity.ui.dse,95,55
200804,org.eclipse.datatools.enablement.hsqldb,2,1
200804,org.eclipse.datatools.enablement.hsqldb.ui,10,9
200804,org.eclipse.datatools.enablement.ibm.db2.luw,37,22
200804,org.eclipse.datatools.enablement.ibm.db2.luw.profile,2,1
200804,org.eclipse.datatools.enablement.ibm.db2.luw.ui,15,13
200804,org.eclipse.datatools.enablement.jdt.dbunit,1,1
200804,org.eclipse.datatools.enablement.msft.sqlserver,22,14
200804,org.eclipse.datatools.enablement.msft.sqlserver.ui,16,14
200804,org.eclipse.datatools.enablement.mysql,29,10
200804,org.eclipse.datatools.enablement.mysql.profile,2,1
200804,org.eclipse.datatools.enablement.mysql.ui,17,15
200804,org.eclipse.datatools.enablement.oda.xml,2,2
200804,org.eclipse.datatools.enablement.oda.xml.ui,9,8
200804,org.eclipse.datatools.enablement.oracle,22,8
200804,org.eclipse.datatools.enablement.oracle.profile,2,1
200804,org.eclipse.datatools.enablement.oracle.ui,17,15
200804,org.eclipse.datatools.enablement.postgresql,10,5
200804,org.eclipse.datatools.enablement.postgresql.profile,2,1
200804,org.eclipse.datatools.enablement.sap.maxdb,19,11
200804,org.eclipse.datatools.enablement.sap.maxdb.ui,16,14
200804,org.eclipse.datatools.enablement.sybase,63,29
200804,org.eclipse.datatools.enablement.sybase.asa,60,26
200804,org.eclipse.datatools.enablement.sybase.asa.models,3,2
200804,org.eclipse.datatools.enablement.sybase.asa.ui,12,11
200804,org.eclipse.datatools.enablement.sybase.ase,30,16
200804,org.eclipse.datatools.enablement.sybase.ase.models,5,3
200804,org.eclipse.datatools.enablement.sybase.ase.profile,2,1
200804,org.eclipse.datatools.enablement.sybase.ase.ui,20,15
200804,org.eclipse.datatools.modelbase.dbdefinition,26,17
200804,org.eclipse.datatools.modelbase.derby,4,3
200804,org.eclipse.datatools.modelbase.sql,151,76
200804,org.eclipse.datatools.modelbase.sql.edit,4,4
200804,org.eclipse.datatools.modelbase.sql.query,5,5
200804,org.eclipse.datatools.modelbase.sql.query.edit,5,5
200804,org.eclipse.datatools.sqltools.common.ui,32,22
200804,org.eclipse.datatools.sqltools.data.core,8,6
200804,org.eclipse.datatools.sqltools.data.ui,12,10
200804,org.eclipse.datatools.sqltools.db.derby,117,67
200804,org.eclipse.datatools.sqltools.db.generic,122,69
200804,org.eclipse.datatools.sqltools.ddlgen.ui,15,11
200804,org.eclipse.datatools.sqltools.debugger.core,78,48
200804,org.eclipse.datatools.sqltools.editor.core,122,69
200804,org.eclipse.datatools.sqltools.parsers.sql,1,1
200804,org.eclipse.datatools.sqltools.parsers.sql.lexer,1,1
200804,org.eclipse.datatools.sqltools.parsers.sql.query,5,2
200804,org.eclipse.datatools.sqltools.plan,22,16
200804,org.eclipse.datatools.sqltools.result,32,22
200804,org.eclipse.datatools.sqltools.routineeditor,78,48
200804,org.eclipse.datatools.sqltools.sql,82,52
200804,org.eclipse.datatools.sqltools.sqlbuilder,5,5
200804,org.eclipse.datatools.sqltools.sqleditor,111,63
200804,org.eclipse.datatools.sqltools.sqlscrapbook,106,59
200804,org.eclipse.datatools.sqltools.tabledataeditor,13,11
200804,org.eclipse.datatools.sqltools.tablewizard,4,4
200804,org.eclipse.dd.debug.memory.renderings.traditional,1,1
200804,org.eclipse.dd.dsf.debug.ui,26,9
200804,org.eclipse.dd.dsf.ui,27,9
200804,org.eclipse.dd.ipxact.checker.core,23,4
200804,org.eclipse.dd.ipxact.editor.core,23,4
200804,org.eclipse.dd.ipxact.validator.ui,23,4
200804,org.eclipse.debug.core,3279,798
200804,org.eclipse.debug.ui,2632,728
200804,org.eclipse.dltk.console.ui,148,38
200804,org.eclipse.dltk.core,218,55
200804,org.eclipse.dltk.debug,15,7
200804,org.eclipse.dltk.debug.ui,10,7
200804,org.eclipse.dltk.launching,219,55
200804,org.eclipse.dltk.python.core,1,1
200804,org.eclipse.dltk.ruby.core,178,46
200804,org.eclipse.dltk.ruby.debug,1,1
200804,org.eclipse.dltk.ruby.debug.ui,11,7
200804,org.eclipse.dltk.ruby.launching,36,9
200804,org.eclipse.dltk.ruby.ui,185,45
200804,org.eclipse.dltk.tcl.core,61,24
200804,org.eclipse.dltk.tcl.debug.ui,4,3
200804,org.eclipse.dltk.tcl.launching,19,5
200804,org.eclipse.dltk.tcl.tclchecker,1,1
200804,org.eclipse.dltk.tcl.testing,4,3
200804,org.eclipse.dltk.tcl.ui,149,38
200804,org.eclipse.dltk.ui,216,55
200804,org.eclipse.dltk.validators.core,14,6
200804,org.eclipse.dltk.validators.ui,187,48
200804,org.eclipse.draw2d,309,152
200804,org.eclipse.ecf,482,183
200804,org.eclipse.ecf.discovery,102,30
200804,org.eclipse.ecf.discovery.ui,24,6
200804,org.eclipse.ecf.doc,3,1
200804,org.eclipse.ecf.docshare,97,29
200804,org.eclipse.ecf.example.collab,130,33
200804,org.eclipse.ecf.example.collab.editor,4,2
200804,org.eclipse.ecf.filetransfer,493,182
200804,org.eclipse.ecf.filetransfer.ui,1,1
200804,org.eclipse.ecf.identity,491,183
200804,org.eclipse.ecf.presence,95,29
200804,org.eclipse.ecf.presence.collab.ui,99,31
200804,org.eclipse.ecf.presence.ui,99,30
200804,org.eclipse.ecf.provider,102,31
200804,org.eclipse.ecf.provider.bittorrent,102,30
200804,org.eclipse.ecf.provider.bittorrent.ui,112,31
200804,org.eclipse.ecf.provider.discovery,100,30
200804,org.eclipse.ecf.provider.filetransfer,494,182
200804,org.eclipse.ecf.provider.filetransfer.efs,101,30
200804,org.eclipse.ecf.provider.filetransfer.httpclient,100,30
200804,org.eclipse.ecf.provider.filetransfer.scp,97,29
200804,org.eclipse.ecf.provider.irc,102,30
200804,org.eclipse.ecf.provider.irc.ui,121,35
200804,org.eclipse.ecf.provider.jgroups,4,1
200804,org.eclipse.ecf.provider.jmdns,102,31
200804,org.eclipse.ecf.provider.jms,4,1
200804,org.eclipse.ecf.provider.jms.activemq,4,1
200804,org.eclipse.ecf.provider.jms.weblogic,4,1
200804,org.eclipse.ecf.provider.jslp,83,27
200804,org.eclipse.ecf.provider.msn,104,30
200804,org.eclipse.ecf.provider.msn.ui,115,31
200804,org.eclipse.ecf.provider.skype,3,1
200804,org.eclipse.ecf.provider.ui,3,1
200804,org.eclipse.ecf.provider.xmpp,102,30
200804,org.eclipse.ecf.provider.xmpp.ui,115,31
200804,org.eclipse.ecf.provider.yahoo,3,1
200804,org.eclipse.ecf.sharedobject,102,31
200804,org.eclipse.ecf.ui,126,36
200804,org.eclipse.eclipsemonkey,63,20
200804,org.eclipse.eclipsemonkey.doms,36,12
200804,org.eclipse.eclipsemonkey.lang.javascript,63,20
200804,org.eclipse.eclipsemonkey.lang.ruby,5,1
200804,org.eclipse.eclipsemonkey.ui,6,2
200804,org.eclipse.emf.ant,71,34
200804,org.eclipse.emf.cdo,4,1
200804,org.eclipse.emf.cdo.weaver.ui,4,1
200804,org.eclipse.emf.codegen,78,46
200804,org.eclipse.emf.codegen.ecore,59,37
200804,org.eclipse.emf.codegen.ecore.ui,40,28
200804,org.eclipse.emf.common,2631,639
200804,org.eclipse.emf.common.ui,882,338
200804,org.eclipse.emf.commonj.sdo,8,7
200804,org.eclipse.emf.converter,95,47
200804,org.eclipse.emf.ecore,2592,633
200804,org.eclipse.emf.ecore.change,78,47
200804,org.eclipse.emf.ecore.edit,115,67
200804,org.eclipse.emf.ecore.editor,31,16
200804,org.eclipse.emf.ecore.sdo,8,7
200804,org.eclipse.emf.ecore.xmi,2154,606
200804,org.eclipse.emf.ecoretools,1,1
200804,org.eclipse.emf.ecoretools.diagram,6,5
200804,org.eclipse.emf.edit,906,349
200804,org.eclipse.emf.edit.ui,880,339
200804,org.eclipse.emf.examples.generator.validator,1,1
200804,org.eclipse.emf.examples.library,44,14
200804,org.eclipse.emf.exporter,2,2
200804,org.eclipse.emf.importer,95,47
200804,org.eclipse.emf.importer.ecore,74,36
200804,org.eclipse.emf.importer.java,69,32
200804,org.eclipse.emf.importer.rose,72,35
200804,org.eclipse.emf.mapping,8,7
200804,org.eclipse.emf.mapping.ecore2ecore,6,6
200804,org.eclipse.emf.mapping.ecore2ecore.editor,3,2
200804,org.eclipse.emf.mapping.ecore2xml,31,20
200804,org.eclipse.emf.mapping.ui,1,1
200804,org.eclipse.emf.mapping.xsd2ecore,3,2
200804,org.eclipse.emf.mapping.xsd2ecore.editor,1,1
200804,org.eclipse.emf.mint,105,31
200804,org.eclipse.emf.mint.ui,105,31
200804,org.eclipse.emf.ocl,7,6
200804,org.eclipse.emf.ocl.examples.interpreter,1,1
200804,org.eclipse.emf.search,5,4
200804,org.eclipse.emf.search.common,5,5
200804,org.eclipse.emf.search.common.ui,1,1
200804,org.eclipse.emf.search.ecore,4,4
200804,org.eclipse.emf.search.ecore.ocl,5,5
200804,org.eclipse.emf.search.ecore.ocl.ui,3,3
200804,org.eclipse.emf.search.ecore.ui,3,3
200804,org.eclipse.emf.search.genmodel,4,4
200804,org.eclipse.emf.search.genmodel.ui,3,3
200804,org.eclipse.emf.search.ocl,4,4
200804,org.eclipse.emf.search.ocl.ui,4,4
200804,org.eclipse.emf.search.ui,4,4
200804,org.eclipse.emf.transaction,45,26
200804,org.eclipse.emf.validation,227,71
200804,org.eclipse.emf.validation.examples.adapter,44,13
200804,org.eclipse.emf.validation.examples.general,2,2
200804,org.eclipse.emf.validation.ui,31,23
200804,org.eclipse.emf.workspace,38,24
200804,org.eclipse.epp.usagedata.gathering,3716,819
200804,org.eclipse.epp.usagedata.recording,4134,855
200804,org.eclipse.epp.usagedata.ui,2509,637
200804,org.eclipse.equinox.app,3520,830
200804,org.eclipse.equinox.common,3502,827
200804,org.eclipse.equinox.frameworkadmin,1224,354
200804,org.eclipse.equinox.frameworkadmin.equinox,1227,355
200804,org.eclipse.equinox.http.jetty,174,122
200804,org.eclipse.equinox.http.registry,171,121
200804,org.eclipse.equinox.http.servlet,173,122
200804,org.eclipse.equinox.jmx.common,21,9
200804,org.eclipse.equinox.jmx.server,17,8
200804,org.eclipse.equinox.jmx.server.rmi,21,9
200804,org.eclipse.equinox.jmx.vm,20,8
200804,org.eclipse.equinox.jsp.jasper,141,97
200804,org.eclipse.equinox.jsp.jasper.registry,141,97
200804,org.eclipse.equinox.p2.artifact.repository,1185,347
