bundle, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.birt.report.designer.ui.editor.script, 455, 211, 510, 239, 660, 296, 757, 338, 821, 359, 888, 390, 982, 437, 1066, 484, 283, 165
org.eclipse.birt.report.designer.ui.editor.xml.wtp, 456, 211, 509, 239, 637, 284, 754, 337, 826, 359, 884, 386, 993, 441, 1075, 487, 284, 167
org.eclipse.birt.report.designer.ui.editors, 477, 219, 544, 258, 675, 302, 803, 357, 865, 375, 927, 410, 1021, 448, 1126, 505, 298, 181
org.eclipse.birt.report.designer.ui.editors.schematic, 468, 215, 531, 247, 670, 297, 770, 341, 858, 372, 923, 399, 1009, 442, 1105, 492, 291, 174
org.eclipse.birt.report.designer.ui.ide, 554, 258, 633, 309, 755, 352, 963, 465, 1025, 478, 1157, 552, 1205, 562, 1458, 680, 376, 237
org.eclipse.birt.report.designer.ui.lib, 30, 23, 18, 17, 7, 7, 25, 18, 43, 27, 50, 34, 35, 26, 31, 21, 0, 0
org.eclipse.birt.report.designer.ui.lib.explorer, 93, 71, 137, 101, 142, 108, 163, 119, 195, 141, 228, 167, 205, 150, 237, 154, 39, 34
org.eclipse.birt.report.designer.ui.preview.web, 462, 214, 534, 242, 654, 293, 816, 375, 911, 402, 995, 444, 1087, 497, 1284, 595, 339, 210
org.eclipse.birt.report.designer.ui.views, 573, 269, 656, 312, 787, 361, 986, 478, 1060, 482, 1225, 559, 1263, 583, 1503, 690, 396, 242
org.eclipse.birt.report.engine, 637, 290, 730, 341, 886, 391, 1116, 509, 1149, 511, 1302, 591, 1316, 610, 1569, 726, 413, 258
org.eclipse.birt.report.engine.emitter.html, 234, 132, 253, 153, 304, 176, 328, 200, 400, 231, 427, 242, 486, 280, 521, 305, 140, 100
org.eclipse.birt.report.engine.emitter.pdf, 20, 15, 33, 19, 35, 22, 66, 46, 69, 45, 86, 50, 96, 64, 104, 66, 0, 0
org.eclipse.birt.report.engine.emitter.wpml, 7, 6, 0, 0, 0, 0, 6, 6, 8, 7, 0, 0, 0, 0, 6, 6, 0, 0
org.eclipse.birt.report.item.crosstab.ui, 563, 262, 646, 310, 791, 360, 976, 466, 1035, 480, 1183, 549, 1212, 566, 1485, 691, 395, 247
org.eclipse.birt.report.model, 562, 261, 656, 314, 819, 365, 992, 474, 1064, 495, 1205, 566, 1234, 571, 1494, 693, 393, 245
org.eclipse.birt.report.model.adapter.oda, 171, 110, 233, 149, 310, 165, 326, 174, 363, 206, 412, 231, 459, 262, 555, 311, 113, 83
org.eclipse.birt.report.viewer, 382, 191, 418, 215, 525, 260, 603, 306, 712, 327, 754, 351, 813, 404, 901, 436, 245, 151
org.eclipse.buckminster.ant, 29, 18, 30, 21, 59, 38, 84, 45, 50, 33, 47, 23, 9, 9, 18, 8, 0, 0
org.eclipse.buckminster.core, 115, 72, 155, 98, 174, 110, 248, 136, 193, 131, 138, 89, 113, 73, 137, 80, 31, 24
org.eclipse.buckminster.cvs, 84, 57, 130, 83, 128, 88, 188, 120, 115, 93, 115, 82, 74, 55, 71, 48, 22, 17
org.eclipse.buckminster.jdt, 15, 8, 26, 17, 34, 21, 64, 38, 18, 13, 22, 15, 13, 8, 21, 9, 0, 0
org.eclipse.buckminster.maven, 86, 61, 134, 86, 138, 95, 193, 125, 128, 95, 115, 83, 65, 47, 85, 57, 23, 17
org.eclipse.buckminster.p4, 78, 53, 108, 69, 113, 78, 161, 108, 103, 84, 92, 75, 51, 38, 56, 41, 21, 16
org.eclipse.buckminster.pde, 79, 57, 131, 81, 154, 98, 181, 115, 121, 92, 116, 82, 66, 50, 87, 56, 22, 17
org.eclipse.buckminster.runtime, 116, 72, 156, 99, 179, 112, 261, 142, 198, 137, 154, 100, 117, 76, 137, 81, 31, 24
org.eclipse.buckminster.ui, 92, 65, 138, 89, 162, 101, 213, 124, 165, 120, 131, 90, 97, 66, 110, 69, 23, 18
org.eclipse.cdt.core, 17170, 5321, 22333, 7010, 28298, 9097, 44331, 13112, 48528, 14579, 48270, 14755, 48487, 15014, 53498, 16375, 17463, 7925
org.eclipse.cdt.core.tests, 605, 188, 1021, 315, 1396, 457, 2368, 756, 2543, 815, 3050, 947, 3426, 1029, 3471, 1096, 1126, 548
org.eclipse.cdt.debug.core, 10335, 3902, 13846, 5171, 17760, 6822, 28546, 10058, 31987, 11293, 31598, 11462, 30648, 11199, 34076, 12379, 10896, 5826
