yearmonth,ccode,userCount
200902,bn,1
200902,bo,28
200807,bo,11
200903,bo,15
200809,bo,16
200810,bo,23
200812,bo,23
200808,bo,18
200811,bo,28
200901,bo,25
200901,br,4549
200902,br,5288
200807,br,1742
200903,br,3298
200809,br,4056
200810,br,5249
200805,br,60
200812,br,4837
200804,br,22
200808,br,3008
200811,br,5650
200806,br,121
200901,bs,2
200902,bs,2
200903,bs,2
200809,bs,1
200810,bs,1
200812,bs,3
200808,bs,1
200811,bs,3
200901,bw,3
200902,bw,1
200810,bw,1
200807,by,43
200901,by,55
200902,by,69
200903,by,31
200809,by,51
200805,by,1
200810,by,60
200812,by,62
200808,by,42
200811,by,64
200806,by,3
200901,bz,8
200902,bz,4
200903,bz,2
200810,bz,4
200812,bz,7
200811,bz,8
200807,ca,1076
200901,ca,3150
200902,ca,3577
200903,ca,2216
200809,ca,2033
200804,ca,53
200805,ca,80
200810,ca,2832
200812,ca,2734
200808,ca,1284
200811,ca,3111
200806,ca,163
200902,cd,1
200812,cd,1
200903,cg,1
200902,cg,1
200806,ch,54
200807,ch,430
200901,ch,1448
200809,ch,892
200903,ch,1114
200804,ch,14
200805,ch,32
200902,ch,1569
200810,ch,1289
200812,ch,1396
200808,ch,578
200811,ch,1410
200811,ci,13
200806,ci,1
200807,ci,6
200901,ci,15
200809,ci,11
200903,ci,4
200902,ci,17
200810,ci,14
200812,ci,10
200808,ci,10
200811,cl,294
200806,cl,3
200807,cl,112
200901,cl,253
200804,cl,2
200805,cl,3
200809,cl,176
200903,cl,149
200902,cl,227
200810,cl,273
200812,cl,312
200808,cl,152
200808,cm,2
200811,cm,1
200807,cm,2
200901,cm,6
200809,cm,2
200903,cm,6
200902,cm,5
200810,cm,4
200812,cm,4
200812,cn,11641
200808,cn,5399
200806,cn,297
200811,cn,10956
200807,cn,4012
200901,cn,9239
200804,cn,83
200805,cn,131
200809,cn,6432
200903,cn,7507
200902,cn,10838
200810,cn,9251
200810,co,610
200812,co,513
200808,co,335
200806,co,11
200811,co,711
200807,co,158
200901,co,424
200804,co,3
200805,co,5
200809,co,496
200903,co,493
200902,co,769
200810,cr,61
200812,cr,68
200808,cr,43
200811,cr,71
200807,cr,30
200901,cr,72
200809,cr,35
200903,cr,38
200902,cr,77
200810,cu,1
200901,cu,1
200809,cu,1
200903,cu,1
200812,cv,1
200809,cy,12
200902,cy,25
200903,cy,3
200810,cy,13
200808,cy,9
200812,cy,11
200811,cy,24
200807,cy,7
200901,cy,18
200809,cz,373
200902,cz,764
200903,cz,527
200810,cz,580
200806,cz,29
200808,cz,289
200812,cz,657
200811,cz,647
200804,cz,11
200805,cz,15
200807,cz,257
200901,cz,676
200901,de,9011
200809,de,4463
200902,de,8459
200903,de,4888
200810,de,6684
200806,de,457
200808,de,3776
200812,de,8186
200811,de,8543
200804,de,128
200805,de,198
200807,de,3257
