yearmonth,editor,executeCount,userCount
200805,org.eclipse.wst.wsdl.ui.internal.WSDLEditor,429,20
200805,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,11786,537
200805,org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor,859,54
200805,org.eclipse.wst.xsl.ui.XSLEditor,79,6
200805,org.eclipse.xsd.presentation.XSDEditorID,4,1
200806,org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor,122,2
200806,org.eclipse.am3.tools.tge,5,2
200806,org.eclipse.ant.ui.internal.editor.AntEditor,1588,156
200806,org.eclipse.birt.report.designer.ui.editors.LibraryEditor,5,2
200806,org.eclipse.birt.report.designer.ui.editors.ReportEditor,457,19
200806,org.eclipse.buckminster.ui.editor.QueryEditor,3,1
200806,org.eclipse.buckminster.ui.editors.CSPECEditor,11,2
200806,org.eclipse.buckminster.ui.editors.CSPEXEditor,4,1
200806,org.eclipse.buckminster.ui.editors.RMAPEditor,6,1
200806,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,14,8
200806,org.eclipse.cdt.make.editor,361,28
200806,org.eclipse.cdt.ui.binaryEditor,27,9
200806,org.eclipse.cdt.ui.editor.asm.AsmEditor,65,2
200806,org.eclipse.cdt.ui.editor.CEditor,13398,130
200806,org.eclipse.compare.CompareEditor,3925,290
200806,org.eclipse.cosmos.rm.smlif.internal.editor.smlifEditor,12,1
200806,org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor,31,13
200806,org.eclipse.datatools.sqltools.sqleditor.SQLEditor,22,4
200806,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,721,62
200806,org.eclipse.dd.ipxact.editor.ui.editors.IP-XACTMultiPageEditor,14,1
200806,org.eclipse.debug.ui.NoSourceFoundEditor,15,2
200806,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,174,57
200806,org.eclipse.dltk.ruby.ui.editor.RubyEditor,112,3
200806,org.eclipse.dltk.tcl.ui.editor.TclEditor,10,1
200806,org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID,179,21
200806,org.eclipse.emf.compare.examples.export.library.presentation.LibraryEditorID,20,1
200806,org.eclipse.emf.ecore.presentation.EcoreEditorID,273,23
200806,org.eclipse.emf.ecore.presentation.ReflectiveEditorID,60,10
200806,org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID,46,7
200806,org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID,7,1
200806,org.eclipse.emf.mapping.xsd2ecore.presentation.XSD2EcoreEditorID,1,1
200806,org.eclipse.epf.authoring.ui.editors.MethodElementEditor,2,1
200806,org.eclipse.gmf.codegen.gmfgen.presentation.GMFGenEditorID,2,1
200806,org.eclipse.gmf.ecore.part.EcoreDiagramEditorID,21,4
200806,org.eclipse.gmf.gmfgraph.presentation.GMFGraphEditorID,1,1
200806,org.eclipse.gmf.mappings.presentation.GMFMapEditorID,50,4
200806,org.eclipse.gmf.tooldef.presentation.GMFToolEditorID,7,2
