yearmonth,command,executeCount,userCount
200804,org.eclipse.jdt.ui.JavaBrowsingPerspective,1,1
200804,org.eclipse.jdt.ui.JavadocView,8,6
200804,org.eclipse.jdt.ui.JavaPerspective,64,44
200804,org.eclipse.jdt.ui.navigate.java.open.structure,5,1
200804,org.eclipse.jdt.ui.navigate.open.type,2513,187
200804,org.eclipse.jdt.ui.navigate.open.type.in.hierarchy,10,6
200804,org.eclipse.jdt.ui.PackageExplorer,18,13
200804,org.eclipse.jdt.ui.SourceView,1,1
200804,org.eclipse.jst.j2ee.J2EEPerspective,3,2
200804,org.eclipse.jst.jsp.ui.refactor.rename,3,2
200804,org.eclipse.jst.pagedesigner.design,3,2
200804,org.eclipse.jst.pagedesigner.horizotal,2,1
200804,org.eclipse.jst.pagedesigner.source,41,2
200804,org.eclipse.jst.pagedesigner.vertical,38,3
200804,org.eclipse.ltk.ui.refactor.create.refactoring.script,3,2
200804,org.eclipse.ltk.ui.refactor.show.refactoring.history,5,2
200804,org.eclipse.ltk.ui.refactoring.commands.deleteResources,775,249
200804,org.eclipse.ltk.ui.refactoring.commands.moveResources,11,6
200804,org.eclipse.ltk.ui.refactoring.commands.renameResource,234,59
200804,org.eclipse.mylyn.context.ui.commands.interest.decrement,10,5
200804,org.eclipse.mylyn.context.ui.commands.interest.increment,9,2
200804,org.eclipse.mylyn.context.ui.commands.open.context.dialog,4,3
200804,org.eclipse.mylyn.java.ui.editor.folding.auto,23,12
200804,org.eclipse.mylyn.tasks.ui.command.activateTask,3,3
200804,org.eclipse.mylyn.tasks.ui.command.addTaskRepository,19,15
200804,org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks,1,1
200804,org.eclipse.mylyn.tasks.ui.command.markTaskRead,13,2
200804,org.eclipse.mylyn.tasks.ui.command.openRemoteTask,1,1
200804,org.eclipse.mylyn.tasks.ui.command.openTask,10,10
200804,org.eclipse.mylyn.tasks.ui.views.tasks,4,4
200804,org.eclipse.pde.runtime.LogView,6,6
200804,org.eclipse.pde.runtime.spy.commands.spyCommand,7,3
200804,org.eclipse.pde.ui.EquinoxLaunchShortcut.run,3,2
200804,org.eclipse.pde.ui.junitWorkbenchShortcut.debug,1,1
200804,org.eclipse.pde.ui.junitWorkbenchShortcut.run,9,5
200804,org.eclipse.pde.ui.openPluginArtifact,2,2
200804,org.eclipse.pde.ui.PluginsView,1,1
200804,org.eclipse.pde.ui.quickOutline,1,1
200804,org.eclipse.pde.ui.runtimeWorkbenchShortcut.debug,4,3
200804,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,102,10
200804,org.eclipse.php.server.ui.phpServerShortcut.run,1,1
200804,org.eclipse.php.ui.edit.text.OpenDeclaration,2,1
200804,org.eclipse.php.ui.edit.text.rename.element,4,1
200804,org.eclipse.quickdiff.toggle,10,9
200804,org.eclipse.rap.ui.intro.installTarget,5,4
200804,org.eclipse.rap.ui.launch.RAPLaunchShortcut.run,22,1
200804,org.eclipse.search.ui.openFileSearchPage,279,77
200804,org.eclipse.search.ui.openSearchDialog,698,101
200804,org.eclipse.search.ui.performTextSearchFile,2,2
200804,org.eclipse.search.ui.performTextSearchProject,8,3
200804,org.eclipse.search.ui.performTextSearchWorkingSet,1,1
200804,org.eclipse.search.ui.performTextSearchWorkspace,4,4
200804,org.eclipse.search.ui.views.SearchView,4,4
200804,org.eclipse.team.cvs.ui.add,8,6
200804,org.eclipse.team.cvs.ui.addLocation,7,4
