command, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.debug.ui.commands.RunToLine, 393, 164, 589, 217, 1083, 313, 1607, 509, 2151, 536, 1948, 575, 1563, 537, 1842, 559, 405, 194
org.eclipse.debug.ui.commands.SkipAllBreakpoints, 38, 13, 28, 11, 76, 19, 159, 55, 156, 65, 123, 46, 142, 53, 231, 75, 31, 12
org.eclipse.debug.ui.commands.StepInto, 52790, 3556, 65381, 4733, 93844, 6187, 179869, 9235, 231735, 10731, 209909, 11158, 202124, 11074, 231960, 12585, 78618, 5165
org.eclipse.debug.ui.commands.StepOver, 371798, 5506, 514593, 7686, 685215, 9801, 1066457, 14080, 1250977, 16236, 1337795, 17331, 1316288, 17236, 1524687, 19508, 475205, 9030
org.eclipse.debug.ui.commands.StepReturn, 10638, 1554, 12786, 2042, 18478, 2631, 30306, 3851, 35587, 4503, 35011, 4802, 33726, 4630, 43079, 5272, 12217, 1948
org.eclipse.debug.ui.commands.Terminate, 13873, 3767, 19435, 5177, 25369, 6802, 40940, 10332, 47952, 12025, 49089, 12347, 48269, 12304, 56996, 13927, 17672, 5832
org.eclipse.debug.ui.commands.TerminateAndRelaunch, 177, 63, 256, 75, 373, 112, 678, 168, 640, 178, 684, 167, 875, 219, 854, 255, 235, 71
org.eclipse.debug.ui.commands.ToggleBreakpoint, 1355, 302, 2023, 428, 2600, 558, 4182, 931, 5158, 1031, 5399, 1079, 5058, 977, 5641, 1094, 1535, 400
org.eclipse.debug.ui.commands.ToggleStepFilters, 36, 24, 38, 25, 74, 41, 155, 65, 129, 75, 110, 73, 120, 70, 111, 85, 42, 24
org.eclipse.debug.ui.DebugPerspective, 699, 591, 868, 742, 1367, 1120, 2156, 1752, 2366, 1894, 2136, 1716, 1978, 1566, 2367, 1832, 689, 561
org.eclipse.dltk.ruby.debug.ui.launchShortcut.run, 16, 6, 0, 0, 0, 0, 0, 0, 244, 13, 104, 13, 330, 14, 0, 0, 0, 0
org.eclipse.ecf.presence.ui.commands.browse, 6, 6, 0, 0, 0, 0, 7, 7, 0, 0, 25, 21, 0, 0, 17, 13, 0, 0
