editor, executeCount200804, userCount200804, executeCount200805, userCount200805, executeCount200806, userCount200806, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901
org.eclipse.linuxtools.changelog.core.editor6, 0, 0, 0, 0, 0, 0, 82, 4, 75, 5, 30, 3, 108, 2, 27, 5, 20, 6, 18, 3
org.eclipse.linuxtools.rpm.ui.editor.SpecfileEditor, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.mofscript.editor.MofScriptTextEditor, 0, 0, 0, 0, 0, 0, 107, 3, 72, 4, 84, 6, 75, 3, 21, 1, 0, 0, 13, 1
org.eclipse.ocl.examples.employee.presentation.EmployeeEditorID, 0, 0, 0, 0, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.photran.ui.FixedFormFortranEditor, 0, 0, 0, 0, 0, 0, 10, 1, 55, 7, 245, 17, 598, 28, 465, 26, 374, 25, 841, 38
org.eclipse.ptp.ui.views.parallelProcessView, 0, 0, 0, 0, 0, 0, 38, 1, 0, 0, 4, 1, 10, 1, 0, 0, 18, 3, 0, 0
org.eclipse.smarty.editor, 0, 0, 0, 0, 0, 0, 2, 1, 87, 4, 89, 5, 63, 8, 21, 1, 41, 1, 84, 9
org.eclipse.spliteditor.SplitTextEditor, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.stp.eid.datamodel.diagram.part.Cimero2EditorDiagramEditorID, 0, 0, 0, 0, 0, 0, 10, 2, 0, 0, 1, 1, 1, 1, 7, 1, 0, 0, 0, 0
org.eclipse.stp.ui.xef.editor.XefEditor, 0, 0, 0, 0, 0, 0, 30, 5, 2, 1, 22, 5, 0, 0, 0, 0, 11, 6, 2, 2
org.eclipse.tptp.symptom.internal.presentation.SymptomEditor, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.ui.examples.contributions.editor, 0, 0, 0, 0, 0, 0, 9, 1, 1, 1, 0, 0, 7, 2, 7, 2, 2, 2, 0, 0
org.eclipse.ui.examples.templateeditor.editors.TemplateEditor, 0, 0, 0, 0, 0, 0, 1, 1, 66, 1, 15, 4, 1, 1, 20, 1, 8, 6, 90, 5
org.eclipse.ui.forms.article.base-editor, 0, 0, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 6, 2, 4, 2
org.eclipse.ui.internal.ide.dialogs.WelcomeEditor, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 4, 2, 0, 0, 0, 0, 3, 1
org.eclipse.ui.JavaEditor, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID, 0, 0, 0, 0, 0, 0, 78, 10, 39, 5, 35, 9, 16, 8, 28, 10, 52, 17, 72, 17
org.eclipse.vtp.desktop.editors.core.applicationeditor, 0, 0, 0, 0, 0, 0, 26, 1, 0, 0, 5, 1, 39, 3, 41, 6, 31, 2, 0, 0
org.eclipse.vtp.desktop.editors.voice.editor.VoiceEditor, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 8, 2, 3, 1, 15, 2, 1, 1, 0, 0
org.eclipse.weaver.globalWeaverEditorID, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 3, 1, 0, 0, 85, 1, 103, 3, 99, 4
org.eclipse.webbrowser, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1
org.eclipse.xml.editor.editors.XMLMultiPageEditor, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.datatools.sqltools.internal.sqlscrapbook.editor.SQLScrapbookEditor, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0
org.eclipse.dltk.javascript.ui.editor.JavascriptEditor, 0, 0, 0, 0, 0, 0, 0, 0, 40, 6, 57, 5, 49, 7, 57, 9, 84, 10, 104, 10
org.eclipse.emf.codegen.jeteditor, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.emf.examples.extlibrary.presentation.EXTLibraryEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12, 2, 10, 1, 0, 0, 3, 1, 19, 1
org.eclipse.emf.jcrm.ntmodel.jrxml.jrxmlntmodel.presentation.JrxmlntmodelEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.epsilon.dt.exeed.RegisteredEPackageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.epsilon.egl.dt.editor.EglEditor, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2
org.eclipse.epsilon.eol.dt.editor.EolEditor, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 15, 2, 8, 1, 2, 1, 2, 1, 4, 1
org.eclipse.epsilon.etl.dt.editor.EtlEditor, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 4, 1, 0, 0, 0, 0, 11, 1, 11, 3
org.eclipse.epsilon.evl.dt.editor.EvlEditor, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 19, 1, 4, 1, 0, 0, 7, 1, 41, 3
org.eclipse.gef.examples.ediagram.editor.EDiagramEditor, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.gmf.examples.mindmap.diagram.part.MindmapDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 4, 1, 5, 2, 20, 1, 24, 5, 4, 2
org.eclipse.gmf.examples.mindmap.presentation.MindmapEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.gmf.xtend.editor.XtendEditor, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.jwt.we.editors.WEEditor, 0, 0, 0, 0, 0, 0, 0, 0, 118, 3, 2, 1, 11, 5, 16, 2, 162, 6, 39, 5
org.eclipse.laszlo.rct.editor.LaszloMultiPageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 16, 2, 6, 1, 6, 2, 12, 1, 13, 2
org.eclipse.mst.uml.editor.presentation.CMOFEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.mst.uml.editor.presentation.UMLEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.mtj.ui.editor.JadSourceEditor, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 13, 4, 26, 3, 82, 18, 43, 11, 32, 16
org.eclipse.pde.ds.ui.editor, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 8, 2, 0, 0, 0, 0, 0, 0
org.eclipse.photran.ui.FreeFormFortranEditor, 0, 0, 0, 0, 0, 0, 0, 0, 323, 10, 772, 21, 1383, 55, 1995, 61, 2078, 77, 1680, 57
org.eclipse.php.debug.SourceNotFoundEditor, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 4, 2, 10, 6, 8, 4
org.eclipse.php.untitledPhpEditor, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 1, 5, 3
org.eclipse.qt.editor.qmake, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 6, 1, 20, 3, 17, 3, 0, 0, 2, 1
org.eclipse.stp.soas.internal.core.ui.editors.DeployEditor, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 1, 1, 4, 1, 6, 1, 0, 0, 0, 0
org.eclipse.team.bugzilla.bugzillaBrowser, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 3, 1, 8, 2, 3, 1
org.eclipse.testharness.editor.TestHarnessEditor, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.ui.DefaultVxmlEditor, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.ui.editors.text.DRLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 54, 1, 151, 1, 16, 1, 30, 2, 49, 1
org.eclipse.ui.editors.text.ME10MacroEditor, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 10, 1, 0, 0, 1, 1, 13, 1
org.eclipse.ui.examples.readmetool.ReadmeEditor, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 1, 0, 0, 55, 5, 26, 4, 3, 3
org.eclipse.uml2.presentation.UML2EditorID, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.emf.java.presentation.JavaEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 1, 1, 1, 3, 3, 1, 1
org.eclipse.emf.jcrm.ntmodel.jrcnd.editor.JackrabbitCNDEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.epsilon.ewl.dt.editor.EwlEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.epsilon.fptc.system.diagram.part.SystemDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 0, 0, 24, 1, 6, 1, 0, 0
org.eclipse.hibachi.ui.editor.AdaEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 0, 0, 35, 1, 22, 3, 5, 2
org.eclipse.hyades.test.ui.editor.DatapoolEditorPart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 1, 1, 1, 1
org.eclipse.hyades.test.ui.editor.DeploymentEditorPart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 5, 1, 0, 0, 2, 1
org.eclipse.hyades.test.ui.editor.LocationEditorPart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1
org.eclipse.jdt.ui.javaeditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.laszlo.rct.lzx.ui.LaszloEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 1, 153, 2, 61, 2, 118, 1, 96, 1
org.eclipse.soda.devicekit.editor.adaptereditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.soda.devicekit.editor.deviceeditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.soda.devicekit.editor.profileeditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 9, 2, 12, 3, 30, 2
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 11, 2, 15, 3, 13, 3
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.packageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 1, 1, 2, 1, 0, 0, 0, 0
org.eclipse.tigerstripe.workbench.ui.visualeditor.diagram.part.TigerstripeDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 23, 1, 34, 3, 50, 3, 26, 2
org.eclipse.ui.editors.text.texteditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 15, 2, 10, 1, 0, 0
org.eclipse.vtp.desktop.editors.core.applicationfragmenteditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 10, 2, 0, 0, 0, 0
org.eclipse.vtp.editor.jsgf.editor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.wst.xquery.XQueryEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 1, 14, 1, 0, 0, 0, 0, 0, 0
org.eclipse.actf.validation.mozdom.staticweb.ui.browser.MozillaDomBrowserEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 1, 0, 0, 0, 0, 0, 0
org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 6, 4, 7, 5, 10, 3
org.eclipse.bpel.ui.bpeleditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 4, 194, 5, 55, 10, 218, 10
org.eclipse.core.runtime.xml.source, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 15, 1, 0, 0, 0, 0
org.eclipse.exadel.xstudio.ui.texteditors.jspeditor.HTMLTextEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0
org.eclipse.exadel.xstudio.ui.texteditors.jspeditor.JSPTextEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 3, 1, 0, 0
org.eclipse.gmf.examples.eclipsecon.library.diagram.part.Library07DiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
org.eclipse.gmf.examples.mindmap.mindmap.diagram.part.MindmapDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
org.eclipse.gmf.exaples.mindmap.diagram.part.MinmapDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
org.eclipse.gmf.map.editor.part.GMFMapDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8, 1, 3, 1, 0, 0
org.eclipse.mtj.ui.internal.support.BrowserEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
org.eclipse.mtl.ide.ui.editors.template.MTLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 18, 1, 0, 0, 72, 2
org.eclipse.mylyn.monitor.usage.summary.editor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0
org.eclipse.ohf.h3et.mif.ui.editors.MIFMultiPageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0
org.eclipse.stp.sca.xmleditor.composite, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7, 1, 0, 0, 0, 0
org.eclipse.stp.sca.xmleditor.texteditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 12, 1
org.eclipse.tigerstripe.workbench.ui.instancediagram.diagram.part.InstanceDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 0, 0, 22, 1, 13, 1
org.eclipse.tptp.platform.report.ui.editor.internal.ReportEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
org.eclipse.ui.editors.text.texeditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0
org.eclipse.ui.examples.multipageeditor.MultiPageEditorExample, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9, 2, 1, 1, 0, 0
org.eclipse.ui.examples.rcp.texteditor.editors.xml.XMLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 99, 1, 52, 1, 4, 1
org.eclipse.uml2.diagram.md.part.iStarDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 39, 1, 6, 1
org.eclipse.uml2.diagram.md.part.MDDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 8, 1, 100, 1
org.eclipse.cdt.ui.editor.ExternalSearchEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 10, 2
org.eclipse.cobol.ui.editor.COBOLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 5, 37, 3, 31, 7
org.eclipse.dali.ui.PersistenceXMLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 18, 1, 1, 1
org.eclipse.emf.emf4net.codegen.csharpgenmodel.presentation.CsharpGenModelEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 3, 4, 1, 6, 1
org.eclipse.emf.genericEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 0, 0, 0, 0
org.eclipse.eodm.owl.editor.presentation.OWLEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0
org.eclipse.epsilon.fptc.dsl.generator.editor.ExpressionsEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
org.eclipse.hyades.test.ui.editor.ArtifactEditorPart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 1, 1
org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0
org.eclipse.jdt.ui.Compi|ationUnitEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
org.eclipse.palamedes.ui.editor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 9, 1, 0, 0
org.eclipse.papyrus.core.papyrusEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 0, 0, 0, 0
org.eclipse.papyrus.diagram.clazz.part.UMLDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
org.eclipse.pdt.rdt.ui.editor.CEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 52, 2, 207, 6
org.eclipse.qvt.declarative.editor.qvtrelation.ui.QVTrEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4, 1, 0, 0
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.associationEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 1, 1, 1
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.sessionEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 3, 2
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.profileEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 1, 6, 1
org.eclipse.ui.examples.propertysheet.UserEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 0, 0, 0, 0
org.eclipse.vtp.desktop.editors.core.businessobject, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0
org.eclipse.vtp.desktop.editors.core.database.tableeditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0
org.eclipse.wst.rdb.internal.sqlscrapbook.editor.SQLScrapbookEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 1, 52, 3
org.eclipse.wst.xml.ui.ineditors.PersistenceEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
org.eclipse.wst.xml.vex.ui.VexEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
org.eclipse.xtend.check.editor.CheckEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 4, 1, 0, 0
org.eclipse.xtend.ui.XtendEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 1, 0, 0
org.eclipse.xtext.reference.ReferenceGrammar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 1, 0, 0
org.eclipse.xtext.Xtext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9, 2, 6, 2
org.eclipse.emf.workspace.examples.extlibrary.presentation.EXTLibraryEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0
org.eclipse.erm.schema.diagram.part.ErmDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0
org.eclipse.gmt.am3.platform.ui.editors.MegamodelEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0
org.eclipse.hyades.sdb.internal.editors.SymptomDBEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
org.eclipse.jdtdt.junit, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
org.eclipse.minatiger.presentation.MinatigerEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0
org.eclipse.mylyn.wikitext.ui.editor.markupEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 89, 3
org.eclipse.ohf.h3et.instanceeditor.ui.editors.MessageInstanceMultiPageEditorPart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 1, 0, 0
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.datatypeEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9, 1
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.pluginDescriptorEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 34, 3
org.eclipse.ui.DefaultTextEdii.workbench, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
org.eclipse.wscdl.ide.editors.XMLEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0
org.eclipse.xpand.ui.XpandEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 0, 0
org.eclipse.codeworker.editors.cws.CWSEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1
org.eclipse.emf.edit.tree.diagram.part.TreeDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.emf.eef.components.presentation.ComponentsEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1
org.eclipse.gmf.examples.final1.diagram.part.Final1DiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1
org.eclipse.gmf.examples.final5.final5.diagram.part.Final5DiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
org.eclipse.gmf.examples.fm5.diagram.part.Fm5DiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.gmf.examples.taipan.port.diagram.part.PortDiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
org.eclipse.gmf.fm12.fm12.diagram.part.Fm12DiagramEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.gmt.weaver.globalWeaverEditorID, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
org.eclipse.jdt.20080610-1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.mtj.ui.editor.LocalizationDataEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2
org.eclipse.scheme.ui.editors.SchemeMultiPageEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.m0DescriptorEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.associationClassEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.enumEditor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
