yearmonth,view,executeCount,userCount
200804,org.eclipse.ui.cheatsheets.views.CheatSheetView,6,4
200804,org.eclipse.ui.console.ConsoleView,8196,465
200804,org.eclipse.ui.internal.introview,51,22
200804,org.eclipse.ui.navigator.ProjectExplorer,5531,267
200804,org.eclipse.ui.texteditor.TemplatesView,1,1
200804,org.eclipse.ui.views.AllMarkersView,1,1
200804,org.eclipse.ui.views.BookmarkView,2,2
200804,org.eclipse.ui.views.ContentOutline,2459,309
200804,org.eclipse.ui.views.ProblemView,2013,338
200804,org.eclipse.ui.views.ProblemView.old,4,2
200804,org.eclipse.ui.views.ProgressView,341,119
200804,org.eclipse.ui.views.PropertySheet,196,58
200804,org.eclipse.ui.views.ResourceNavigator,1886,91
200804,org.eclipse.ui.views.TaskList,121,60
200804,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,22,11
200804,org.eclipse.wst.common.snippets.internal.ui.SnippetsView,45,23
200804,org.eclipse.wst.internet.monitor.view,2,1
200804,org.eclipse.wst.jsdt.ui.JavadocView,3,1
200804,org.eclipse.wst.jsdt.ui.PackageExplorer,47,5
200804,org.eclipse.wst.jsdt.ui.TypeHierarchy,5,2
200804,org.eclipse.wst.server.ui.ServersView,2253,141
200805,org.eclipse.ant.ui.views.AntView,1039,60
200805,org.eclipse.birt.chart.examples.view.examplesview,4,1
200805,org.eclipse.birt.report.designer.ui.attributes.AttributeView,69,11
200805,org.eclipse.birt.report.designer.ui.lib.explorer.view,48,11
200805,org.eclipse.birt.report.designer.ui.views.data.DataView,182,14
200805,org.eclipse.cdt.debug.ui.DisassemblyView,5,3
200805,org.eclipse.cdt.debug.ui.executablesView,2,2
200805,org.eclipse.cdt.debug.ui.ModulesView,1,1
200805,org.eclipse.cdt.debug.ui.SignalsView,3,2
200805,org.eclipse.cdt.make.ui.views.MakeView,220,34
200805,org.eclipse.cdt.ui.callHierarchy,88,12
200805,org.eclipse.cdt.ui.CView,617,25
200805,org.eclipse.cdt.ui.includeBrowser,28,9
200805,org.eclipse.cdt.ui.IndexView,9,4
200805,org.eclipse.cdt.ui.typeHierarchy,21,6
200805,org.eclipse.contribution.visualiser.views.Menu,3,1
