yearmonth,perspective,executeCount,userCount
200807,org.eclipse.am3.ui.perspective1,7,3
200807,org.eclipse.atf.mozilla.ide.ui.perspective,15,7
200807,org.eclipse.birt.examples.rcpengine.perspective,2,1
200807,org.eclipse.birt.examples.rcpviewer.perspective,1,1
200807,org.eclipse.birt.report.designer.ui.ReportPerspective,815,311
200807,org.eclipse.cdt.ui.CPerspective,16238,3889
200807,org.eclipse.contribution.spider.spiderPerspective,1,1
200807,org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective,102,79
200807,org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective,1336,625
200807,org.eclipse.debug.ui.DebugPerspective,28769,7519
200807,org.eclipse.dltk.lua.ui.LuaPerspective,1,1
200807,org.eclipse.dltk.python.ui.PythonPerspective,27,9
200807,org.eclipse.dltk.ruby.ui.RubyBrowsingPerspective,12,4
200807,org.eclipse.dltk.ruby.ui.RubyPerspective,111,52
200807,org.eclipse.dltk.tcl.ui.TclPerspective,18,9
200807,org.eclipse.ecf.ui.perspective.communications,332,160
200807,org.eclipse.emf.ecoretools.perspective,77,45
200807,org.eclipse.epf.authoring.ui.AuthoringPerspective,3,2
200807,org.eclipse.epf.authoring.ui.BrowsingPerspective,1,1
200807,org.eclipse.epsilon.perspective.EpsilonPerspectiveFactory,8,2
200807,org.eclipse.equinox.jmx.client.ui.ClientPerspectiveFactory,2,1
200807,org.eclipse.equinox.p2.ui.admin.ProvisioningPerspective,6,1
200807,org.eclipse.hyades.logging.adapter.ui.internal.perspective,4,4
200807,org.eclipse.hyades.trace.internal.ui.tracePerspective,415,134
200807,org.eclipse.hyades.ui.perspective.TestPerspective,35,16
200807,org.eclipse.imp.perspective,3,1
200807,org.eclipse.jdt.ui.JavaBrowsingPerspective,1982,714
200807,org.eclipse.jdt.ui.JavaHierarchyPerspective,42,21
200807,org.eclipse.jdt.ui.JavaPerspective,99001,21879
200807,org.eclipse.jpt.ui.jpaPerspective,340,220
200807,org.eclipse.jst.j2ee.J2EEPerspective,48965,16383
200807,org.eclipse.jwt.we.perspective,1,1
200807,org.eclipse.m2m.atl.adt.atlPerspective,90,42
200807,org.eclipse.mat.ui.perspective,21,13
200807,org.eclipse.mylar.tasklist.ui.perspectives.planning,1,1
200807,org.eclipse.mylyn.tasks.ui.perspectives.planning,934,435
200807,org.eclipse.nab.mwt.ab.MwtPerspective,1,1
200807,org.eclipse.ohf.h3et.ui.perspective,2,1
200807,org.eclipse.pde.ui.PDEPerspective,3386,963
200807,org.eclipse.photran.ui.FortranPerspective,12,4
200807,org.eclipse.php.debug.ui.PHPDebugPerspective,68,32
200807,org.eclipse.php.perspective,1252,390
200807,org.eclipse.ptp.ui.PTPRunPerspective,8,2
200807,org.eclipse.rse.ui.view.SystemPerspective,469,250
200807,org.eclipse.stp.sc.jaxws.perspective,7,6
200807,org.eclipse.stp.sc.sca.java.perspective,1,1
200807,org.eclipse.team.cvs.ui.cvsPerspective,2897,1295
200807,org.eclipse.team.svn.ui.repository.RepositoryPerspective,3113,1179
200807,org.eclipse.team.ui.TeamSynchronizingPerspective,19939,4486
200807,org.eclipse.ui.atf.webDevPerspective,35,6
200807,org.eclipse.ui.examples.contributions.perspective,3,1
200807,org.eclipse.ui.resourcePerspective,4367,1543
200807,org.eclipse.v4all.ui.V4ALLPerspective,2,2
200807,org.eclipse.vtp.desktop.views.bisanalystperspective,1,1
200807,org.eclipse.webcat.ui.perspective,5,1
200807,org.eclipse.wst.jsdt.ui.JavaPerspective,510,291
200807,org.eclipse.wst.web.ui.webDevPerspective,1165,625
200807,org.eclipse.wst.xsl.ui.perspective,25,17
200808,org.eclipse.ajdt.ui.visualiser.AspectVisualizationPerspective,22,16
200808,org.eclipse.am3.ui.perspective1,1,1
200808,org.eclipse.atf.mozilla.ide.ui.perspective,7,3
200808,org.eclipse.birt.report.designer.ui.ReportPerspective,830,349
200808,org.eclipse.cdt.ui.CPerspective,19941,4979
200808,org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective,131,93
200808,org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective,1525,753
200808,org.eclipse.dd.ipxact.editor.ui.SpiritPerspective,1,1
200808,org.eclipse.debug.ui.DebugPerspective,37976,9986
200808,org.eclipse.dltk.javascript.ui.JavascriptPerspective,4,4
200808,org.eclipse.dltk.python.ui.PythonPerspective,13,5
200808,org.eclipse.dltk.ruby.ui.RubyBrowsingPerspective,9,6
200808,org.eclipse.dltk.ruby.ui.RubyPerspective,131,59
